democracy,pcgnp
0,.0869999588477366
0,.0869999588477366
0,.0889999588477366
0,.09
0,.1129999588477366
0,.1169999588477366
0,.1169999588477366
0,.1199999588477366
0,.1229999588477366
0,.1269999588477366
5.4,.1289999588477366
0,.1289999588477366
1,.1309999588477366
8.199999999999999,.1349999588477366
0,.1349999588477366
0,.1369999588477366
0,.1399999588477366
0,.1399999588477366
0,.1409999588477366
0,.1419999588477366
0,.1439999588477366
0,.1469999588477366
0,.1469999588477366
0,.1469999588477366
0,.1469999588477366
0,.1469999588477366
0,.1469999588477366
0,.1469999588477366
0,.1479999588477366
0,.1479999588477366
0,.1499999588477366
0,.1499999588477366
0,.1509999588477366
0,.1519999588477366
0,.1519999588477366
0,.1529999588477366
0,.1539999588477366
0,.1539999588477366
0,.1549999588477366
0,.1559999588477366
0,.1569999588477366
.4,.1569999588477366
0,.1569999588477366
0,.1589999588477366
0,.1599999588477366
0,.1599999588477366
0,.1599999588477366
.4,.1599999588477366
0,.1599999588477366
0,.1609999588477366
4.2,.1639999588477366
4.2,.1639999588477366
0,.1649999588477366
0,.1699999588477366
0,.1699999588477366
0,.1699999588477366
0,.1699999588477366
0,.1709999588477366
0,.1729999588477366
.1,.1739999588477366
0,.1739999588477366
8.5,.1769999588477366
0,.1779999588477366
0,.18
0,.18
0,.1809999588477366
0,.1819999588477366
0,.1819999588477366
0,.1829999588477366
0,.1859999588477366
0,.187
0,.1899999588477366
0,.1899999588477366
0,.1909999588477366
0,.1909999588477366
0,.1949999588477366
0,.1959999588477366
12.7,.2
0,.2009999588477366
0,.2009999588477366
0,.2019999588477366
0,.2029999588477366
0,.2099999588477366
0,.2099999588477366
0,.2099999588477366
0,.2099999588477366
0,.2159999588477366
0,.2179999588477366
0,.2209999588477366
0,.2219999588477366
.4,.2259999588477366
0,.2269999588477366
.4,.2279999588477366
0,.2289999588477366
0,.2289999588477366
0,.2289999588477366
0,.2299999588477366
1.2,.2299999588477366
17,.2299999588477366
0,.2309999588477366
0,.2309999588477366
0,.2339999588477366
0,.2349999588477366
0,.2349999588477366
0,.2369999588477366
0,.2369999588477366
0,.2379999588477366
0,.2389999588477366
0,.2399999588477366
16.8,.2399999588477366
0,.2399999588477366
2,.2399999588477366
0,.2399999588477366
0,.2409999588477366
.4,.2429999588477366
0,.2429999588477366
0,.2439999588477366
0,.2449999588477366
17,.2449999588477366
0,.2449999588477366
0,.2469999588477366
0,.2479999588477366
0,.2499999588477366
7.6,.2499999588477366
0,.2499999588477366
0,.2559999588477366
8.5,.2559999588477366
0,.2559999588477366
0,.2569999588477366
0,.2579999588477366
0,.2579999588477366
.4,.2599999588477366
17,.2599999588477366
17,.2619999588477366
2,.2639999588477366
0,.2649999588477366
10,.2649999588477366
0,.2659999588477366
16.2,.2659999588477366
0,.2659999588477366
2,.2669999588477366
16.2,.2689999588477366
0,.2699999588477366
2,.2699999588477366
0,.2709999588477366
0,.2709999588477366
0,.272
16.2,.272
8.5,.2739999588477366
0,.2749999588477366
0,.2749999588477366
0,.2759999588477366
0,.2769999588477366
0,.2779999588477367
0,.2779999588477367
5.3,.2789999588477367
0,.2819999588477366
0,.2829999588477366
1,.2839999588477366
0,.2849999588477366
0,.2879999588477366
0,.2889999588477366
10,.2889999588477366
0,.2899999588477366
0,.2899999588477366
0,.2919999588477366
8.5,.2919999588477366
0,.2929999588477366
0,.2939999588477366
0,.2939999588477366
10,.2939999588477366
.4,.2949999588477366
2.1,.2969999588477366
0,.2979999588477366
0,.2989999588477366
0,.2989999588477366
.3,.3
5.3,.3
0,.3
0,.3
0,.3
0,.3029999588477366
0,.3049999588477366
0,.3059999588477366
1,.3059999588477366
0,.3069999588477366
0,.3079999588477366
